method,time_years,relative_energy_error
ias15,0.8111175061488125,3.325384638096961e-15
ias15,0.8152348538957617,2.220446049250313e-16
ias15,0.8193522016427108,1.9561086106452713e-15
ias15,0.82346954938966,7.824434442581085e-16
ias15,0.8275868971366092,3.129773777032434e-15
ias15,0.8317042448835583,3.325384638096961e-15
ias15,0.8358215926305075,5.868325831935813e-16
ias15,0.8399389403774566,3.520995499161488e-15
ias15,0.8440562881244058,9.780543053226356e-16
ias15,0.848173635871355,4.499049804484124e-15
ias15,0.8522909836183041,3.325384638096961e-15
ias15,0.8564083313652533,9.780543053226356e-16
ias15,0.8605256791122025,2.7385520549033795e-15
ias15,0.8646430268591516,4.694660665548651e-15
ias15,0.8687603746061008,4.694660665548651e-15
ias15,0.87287772235305,1.3692760274516897e-15
ias15,0.8769950700999991,1.9561086106452713e-15
ias15,0.8811124178469483,7.824434442581085e-16
ias15,0.8852297655938974,2.934162915967907e-15
ias15,0.8893471133408466,1.9561086106452713e-15
ias15,0.8934644610877958,3.9122172212905424e-16
ias15,0.8975818088347449,1.564886888516217e-15
ias15,0.9016991565816941,1.9561086106452713e-15
ias15,0.9058165043286432,1.9561086106452713e-15
ias15,0.9099338520755924,3.325384638096961e-15
ias15,0.9140511998225416,9.780543053226356e-16
ias15,0.9181685475694907,3.9122172212905425e-15
ias15,0.9222858953164399,3.325384638096961e-15
ias15,0.9264032430633891,5.281493248742232e-15
ias15,0.9305205908103382,3.129773777032434e-15
ias15,0.9346379385572874,5.868325831935813e-16
ias15,0.9387552863042365,3.9122172212905424e-16
ias15,0.9428726340511857,1.564886888516217e-15
ias15,0.9469899817981349,2.934162915967907e-15
ias15,0.951107329545084,2.1517194717097983e-15
ias15,0.9552246772920332,7.824434442581085e-16
ias15,0.9593420250389824,2.1517194717097983e-15
ias15,0.9634593727859315,5.868325831935813e-16
ias15,0.9675767205328807,1.9561086106452713e-15
ias15,0.9716940682798298,2.5429411938388524e-15
ias15,0.975811416026779,7.824434442581085e-16
ias15,0.9799287637737282,3.716606360226015e-15
ias15,0.9840461115206773,1.1736651663871627e-15
ias15,0.9881634592676265,3.129773777032434e-15
ias15,0.9922808070145757,2.7385520549033795e-15
ias15,0.9963981547615248,2.220446049250313e-16
ias15,1.0005155025084735,2.934162915967907e-15
ias15,1.004632850255419,4.499049804484124e-15
ias15,1.0087501980023643,2.220446049250313e-16
ias15,1.0128675457493097,1.1736651663871627e-15
ias15,1.016984893496255,3.129773777032434e-15
ias15,1.0211022412432005,3.129773777032434e-15
ias15,1.0252195889901459,2.220446049250313e-16
ias15,1.0293369367370913,3.325384638096961e-15
ias15,1.0334542844840366,2.1517194717097983e-15
ias15,1.037571632230982,3.9122172212905424e-16
ias15,1.0416889799779274,2.220446049250313e-16
ias15,1.0458063277248728,3.716606360226015e-15
ias15,1.0499236754718182,1.3692760274516897e-15
ias15,1.0540410232187636,1.760497749580744e-15
ias15,1.058158370965709,2.5429411938388524e-15
ias15,1.0622757187126544,2.220446049250313e-16
ias15,1.0663930664595997,1.564886888516217e-15
ias15,1.0705104142065451,2.5429411938388524e-15
ias15,1.0746277619534905,7.824434442581085e-16
ias15,1.078745109700436,1.9561086106452713e-15
ias15,1.0828624574473813,2.7385520549033795e-15
ias15,1.0869798051943267,1.564886888516217e-15
ias15,1.091097152941272,1.760497749580744e-15
ias15,1.0952145006882175,5.868325831935813e-16
ias15,1.0993318484351629,7.824434442581085e-16
ias15,1.1034491961821082,1.564886888516217e-15
ias15,1.1075665439290536,1.3692760274516897e-15
ias15,1.111683891675999,2.934162915967907e-15
ias15,1.1158012394229444,3.9122172212905424e-16
ias15,1.1199185871698898,7.824434442581085e-16
ias15,1.1240359349168352,9.780543053226356e-16
ias15,1.1281532826637806,3.325384638096961e-15
ias15,1.132270630410726,1.760497749580744e-15
ias15,1.1363879781576713,4.107828082355069e-15
ias15,1.1405053259046167,1.1736651663871627e-15
ias15,1.1446226736515621,7.824434442581085e-16
ias15,1.1487400213985075,1.3692760274516897e-15
ias15,1.152857369145453,2.7385520549033795e-15
ias15,1.1569747168923983,5.868325831935813e-16
ias15,1.1610920646393437,4.694660665548651e-15
ias15,1.165209412386289,2.3473303327743254e-15
ias15,1.1693267601332344,5.868325831935813e-16
ias15,1.1734441078801798,2.5429411938388524e-15
ias15,1.1775614556271252,2.7385520549033795e-15
ias15,1.1816788033740706,3.325384638096961e-15
ias15,1.185796151121016,2.1517194717097983e-15
ias15,1.1899134988679614,3.9122172212905424e-16
ias15,1.1940308466149068,3.325384638096961e-15
ias15,1.1981481943618522,2.3473303327743254e-15
ias15,1.2022655421087975,2.1517194717097983e-15
ias15,1.206382889855743,2.220446049250313e-16
ias15,1.2105002376026883,2.1517194717097983e-15
ias15,1.2146175853496337,4.107828082355069e-15
ias15,1.218734933096579,1.1736651663871627e-15
ias15,1.2228522808435245,3.520995499161488e-15
ias15,1.2269696285904699,2.220446049250313e-16
ias15,1.2310869763374153,2.934162915967907e-15
ias15,1.2352043240843606,1.760497749580744e-15
ias15,1.239321671831306,1.760497749580744e-15
