# a   rel_err_y0   rel_err_y1   rel_err_y2
2.16271852372702456e-09 9.45013045861031742e-06 1.33957955839036913e-10 0.00000000000000000e+00
2.18776162394955176e-09 2.94254505617264073e-05 1.29879851318293049e-09 0.00000000000000000e+00
2.21309470960564118e-09 3.07407037212215073e-05 1.41747158455274302e-09 0.00000000000000000e+00
2.23872113856833773e-09 4.06721595107573108e-05 2.48137033143080998e-09 0.00000000000000000e+00
2.26464430759306170e-09 1.55942254238539135e-05 3.64767993588088757e-10 0.00000000000000000e+00
2.29086765276776995e-09 2.57833943038132674e-05 9.97183779993804364e-10 2.22044604925031308e-16
2.31739464996847969e-09 1.02413658509270533e-05 1.57328927663513696e-10 2.22044604925031308e-16
2.34422881531992748e-09 9.60800819993501420e-06 1.38471234478743099e-10 0.00000000000000000e+00
2.37137370566165527e-09 1.21613043582158298e-05 2.21846874204345568e-10 2.22044604925031308e-16
2.39883291901948477e-09 1.81489160080428036e-05 4.94077778689927527e-10 2.22044604925031308e-16
2.42661009508241435e-09 1.55073168088826208e-05 3.60717233860441411e-10 2.22044604925031308e-16
2.45470891568503368e-09 4.27886561915613584e-06 2.74630318486401848e-11 2.22044604925031308e-16
2.48313310529556772e-09 2.18808030574280110e-05 7.18159531842843535e-10 0.00000000000000000e+00
2.51188643150958199e-09 6.35757565614625264e-06 6.06282801740576360e-11 2.22044604925031308e-16
2.54097270554930140e-09 2.03362068300627641e-05 6.20346107815805681e-10 0.00000000000000000e+00
2.57039578276886463e-09 1.14776873405553204e-06 1.97597493922785361e-12 0.00000000000000000e+00
